# emoji-zwj-sequences.txt
# Date: 2018-02-07, 08:40:26 GMT
# © 2018 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
#
# Emoji ZWJ Sequences for UTS #51
# Version: 11.0
#
# For documentation and usage, see http://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments 
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field: Emoji_ZWJ_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Emoji ZWJ Sequence: Family

1F468 200D 2764 FE0F 200D 1F468             ; Emoji_ZWJ_Sequence  ; couple with heart: man, man                                    #  6.0  [1] (👨‍❤️‍👨)
1F468 200D 1F9B2                            ; Emoji_ZWJ_Sequence  ; man, bald                                                      # 11.0  [1] (👨‍🦲)
1F468 200D 1F9B3                            ; Emoji_ZWJ_Sequence  ; man, white haired                                              # 11.0  [1] (👨‍🦳)
1F468 1F3FB 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; man health worker: light skin tone                             #  8.0  [1] (👨🏻‍⚕️)
1F468 1F3FB 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; man judge: light skin tone                                     #  8.0  [1] (👨🏻‍⚖️)
1F468 1F3FB 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; man pilot: light skin tone                                     #  8.0  [1] (👨🏻‍✈️)
1F468 1F3FB 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; man farmer: light skin tone                                    #  8.0  [1] (👨🏻‍🌾)
1F468 1F3FB 200D 1F373                      ; Emoji_ZWJ_Sequence  ; man cook: light skin tone                                      #  8.0  [1] (👨🏻‍🍳)
1F468 1F3FB 200D 1F393                      ; Emoji_ZWJ_Sequence  ; man student: light skin tone                                   #  8.0  [1] (👨🏻‍🎓)
1F468 1F3FB 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; man singer: light skin tone                                    #  8.0  [1] (👨🏻‍🎤)
1F468 1F3FB 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; man artist: light skin tone                                    #  8.0  [1] (👨🏻‍🎨)
1F468 1F3FB 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; man teacher: light skin tone                                   #  8.0  [1] (👨🏻‍🏫)
1F468 1F3FB 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; man factory worker: light skin tone                            #  8.0  [1] (👨🏻‍🏭)
1F468 1F3FB 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; man technologist: light skin tone                              #  8.0  [1] (👨🏻‍💻)
1F468 1F3FB 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; man office worker: light skin tone                             #  8.0  [1] (👨🏻‍💼)
1F468 1F3FB 200D 1F527                      ; Emoji_ZWJ_Sequence  ; man mechanic: light skin tone                                  #  8.0  [1] (👨🏻‍🔧)
1F468 1F3FB 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; man scientist: light skin tone                                 #  8.0  [1] (👨🏻‍🔬)
1F468 1F3FB 200D 1F680                      ; Emoji_ZWJ_Sequence  ; man astronaut: light skin tone                                 #  8.0  [1] (👨🏻‍🚀)
1F468 1F3FB 200D 1F692                      ; Emoji_ZWJ_Sequence  ; man firefighter: light skin tone                               #  8.0  [1] (👨🏻‍🚒)
1F468 1F3FB 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; man, red haired: light skin tone                               # 11.0  [1] (👨🏻‍🦰)
1F468 1F3FB 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; man, curly haired: light skin tone                             # 11.0  [1] (👨🏻‍🦱)
1F468 1F3FB 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; man, bald: light skin tone                                     # 11.0  [1] (👨🏻‍🦲)
1F468 1F3FB 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; man, white haired: light skin tone                             # 11.0  [1] (👨🏻‍🦳)
1F468 1F3FC 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; man health worker: medium-light skin tone                      #  8.0  [1] (👨🏼‍⚕️)
1F468 1F3FC 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; man judge: medium-light skin tone                              #  8.0  [1] (👨🏼‍⚖️)
1F468 1F3FC 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; man pilot: medium-light skin tone                              #  8.0  [1] (👨🏼‍✈️)
1F468 1F3FC 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; man farmer: medium-light skin tone                             #  8.0  [1] (👨🏼‍🌾)
1F468 1F3FC 200D 1F373                      ; Emoji_ZWJ_Sequence  ; man cook: medium-light skin tone                               #  8.0  [1] (👨🏼‍🍳)
1F468 1F3FC 200D 1F393                      ; Emoji_ZWJ_Sequence  ; man student: medium-light skin tone                            #  8.0  [1] (👨🏼‍🎓)
1F468 1F3FC 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; man singer: medium-light skin tone                             #  8.0  [1] (👨🏼‍🎤)
1F468 1F3FC 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; man artist: medium-light skin tone                             #  8.0  [1] (👨🏼‍🎨)
1F468 1F3FC 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; man teacher: medium-light skin tone                            #  8.0  [1] (👨🏼‍🏫)
1F468 1F3FC 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; man factory worker: medium-light skin tone                     #  8.0  [1] (👨🏼‍🏭)
1F468 1F3FC 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; man technologist: medium-light skin tone                       #  8.0  [1] (👨🏼‍💻)
1F468 1F3FC 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; man office worker: medium-light skin tone                      #  8.0  [1] (👨🏼‍💼)
1F468 1F3FC 200D 1F527                      ; Emoji_ZWJ_Sequence  ; man mechanic: medium-light skin tone                           #  8.0  [1] (👨🏼‍🔧)
1F468 1F3FC 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; man scientist: medium-light skin tone                          #  8.0  [1] (👨🏼‍🔬)
1F468 1F3FC 200D 1F680                      ; Emoji_ZWJ_Sequence  ; man astronaut: medium-light skin tone                          #  8.0  [1] (👨🏼‍🚀)
1F468 1F3FC 200D 1F692                      ; Emoji_ZWJ_Sequence  ; man firefighter: medium-light skin tone                        #  8.0  [1] (👨🏼‍🚒)
1F468 1F3FC 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; man, red haired: medium-light skin tone                        # 11.0  [1] (👨🏼‍🦰)
1F468 1F3FC 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; man, curly haired: medium-light skin tone                      # 11.0  [1] (👨🏼‍🦱)
1F468 1F3FC 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; man, bald: medium-light skin tone                              # 11.0  [1] (👨🏼‍🦲)
1F468 1F3FC 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; man, white haired: medium-light skin tone                      # 11.0  [1] (👨🏼‍🦳)
1F468 1F3FD 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; man health worker: medium skin tone                            #  8.0  [1] (👨🏽‍⚕️)
1F468 1F3FD 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; man judge: medium skin tone                                    #  8.0  [1] (👨🏽‍⚖️)
1F468 1F3FD 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; man pilot: medium skin tone                                    #  8.0  [1] (👨🏽‍✈️)
1F468 1F3FD 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; man farmer: medium skin tone                                   #  8.0  [1] (👨🏽‍🌾)
1F468 1F3FD 200D 1F373                      ; Emoji_ZWJ_Sequence  ; man cook: medium skin tone                                     #  8.0  [1] (👨🏽‍🍳)
1F468 1F3FD 200D 1F393                      ; Emoji_ZWJ_Sequence  ; man student: medium skin tone                                  #  8.0  [1] (👨🏽‍🎓)
1F468 1F3FD 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; man singer: medium skin tone                                   #  8.0  [1] (👨🏽‍🎤)
1F468 1F3FD 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; man artist: medium skin tone                                   #  8.0  [1] (👨🏽‍🎨)
1F468 1F3FD 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; man teacher: medium skin tone                                  #  8.0  [1] (👨🏽‍🏫)
1F468 1F3FD 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; man factory worker: medium skin tone                           #  8.0  [1] (👨🏽‍🏭)
1F468 1F3FD 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; man technologist: medium skin tone                             #  8.0  [1] (👨🏽‍💻)
1F468 1F3FD 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; man office worker: medium skin tone                            #  8.0  [1] (👨🏽‍💼)
1F468 1F3FD 200D 1F527                      ; Emoji_ZWJ_Sequence  ; man mechanic: medium skin tone                                 #  8.0  [1] (👨🏽‍🔧)
1F468 1F3FD 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; man scientist: medium skin tone                                #  8.0  [1] (👨🏽‍🔬)
1F468 1F3FD 200D 1F680                      ; Emoji_ZWJ_Sequence  ; man astronaut: medium skin tone                                #  8.0  [1] (👨🏽‍🚀)
1F468 1F3FD 200D 1F692                      ; Emoji_ZWJ_Sequence  ; man firefighter: medium skin tone                              #  8.0  [1] (👨🏽‍🚒)
1F468 1F3FD 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; man, red haired: medium skin tone                              # 11.0  [1] (👨🏽‍🦰)
1F468 1F3FD 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; man, curly haired: medium skin tone                            # 11.0  [1] (👨🏽‍🦱)
1F468 1F3FD 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; man, bald: medium skin tone                                    # 11.0  [1] (👨🏽‍🦲)
1F468 1F3FD 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; man, white haired: medium skin tone                            # 11.0  [1] (👨🏽‍🦳)
1F468 1F3FE 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; man health worker: medium-dark skin tone                       #  8.0  [1] (👨🏾‍⚕️)
1F468 1F3FE 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; man judge: medium-dark skin tone                               #  8.0  [1] (👨🏾‍⚖️)
1F468 1F3FE 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; man pilot: medium-dark skin tone                               #  8.0  [1] (👨🏾‍✈️)
1F468 1F3FE 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; man farmer: medium-dark skin tone                              #  8.0  [1] (👨🏾‍🌾)
1F468 1F3FE 200D 1F373                      ; Emoji_ZWJ_Sequence  ; man cook: medium-dark skin tone                                #  8.0  [1] (👨🏾‍🍳)
1F468 1F3FE 200D 1F393                      ; Emoji_ZWJ_Sequence  ; man student: medium-dark skin tone                             #  8.0  [1] (👨🏾‍🎓)
1F468 1F3FE 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; man singer: medium-dark skin tone                              #  8.0  [1] (👨🏾‍🎤)
1F468 1F3FE 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; man artist: medium-dark skin tone                              #  8.0  [1] (👨🏾‍🎨)
1F468 1F3FE 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; man teacher: medium-dark skin tone                             #  8.0  [1] (👨🏾‍🏫)
1F468 1F3FE 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; man factory worker: medium-dark skin tone                      #  8.0  [1] (👨🏾‍🏭)
1F468 1F3FE 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; man technologist: medium-dark skin tone                        #  8.0  [1] (👨🏾‍💻)
1F468 1F3FE 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; man office worker: medium-dark skin tone                       #  8.0  [1] (👨🏾‍💼)
1F468 1F3FE 200D 1F527                      ; Emoji_ZWJ_Sequence  ; man mechanic: medium-dark skin tone                            #  8.0  [1] (👨🏾‍🔧)
1F468 1F3FE 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; man scientist: medium-dark skin tone                           #  8.0  [1] (👨🏾‍🔬)
1F468 1F3FE 200D 1F680                      ; Emoji_ZWJ_Sequence  ; man astronaut: medium-dark skin tone                           #  8.0  [1] (👨🏾‍🚀)
1F468 1F3FE 200D 1F692                      ; Emoji_ZWJ_Sequence  ; man firefighter: medium-dark skin tone                         #  8.0  [1] (👨🏾‍🚒)
1F468 1F3FE 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; man, red haired: medium-dark skin tone                         # 11.0  [1] (👨🏾‍🦰)
1F468 1F3FE 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; man, curly haired: medium-dark skin tone                       # 11.0  [1] (👨🏾‍🦱)
1F468 1F3FE 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; man, bald: medium-dark skin tone                               # 11.0  [1] (👨🏾‍🦲)
1F468 1F3FE 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; man, white haired: medium-dark skin tone                       # 11.0  [1] (👨🏾‍🦳)
1F468 1F3FF 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; man health worker: dark skin tone                              #  8.0  [1] (👨🏿‍⚕️)
1F468 1F3FF 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; man judge: dark skin tone                                      #  8.0  [1] (👨🏿‍⚖️)
1F468 1F3FF 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; man pilot: dark skin tone                                      #  8.0  [1] (👨🏿‍✈️)
1F468 1F3FF 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; man farmer: dark skin tone                                     #  8.0  [1] (👨🏿‍🌾)
1F468 1F3FF 200D 1F373                      ; Emoji_ZWJ_Sequence  ; man cook: dark skin tone                                       #  8.0  [1] (👨🏿‍🍳)
1F468 1F3FF 200D 1F393                      ; Emoji_ZWJ_Sequence  ; man student: dark skin tone                                    #  8.0  [1] (👨🏿‍🎓)
1F468 1F3FF 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; man singer: dark skin tone                                     #  8.0  [1] (👨🏿‍🎤)
1F468 1F3FF 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; man artist: dark skin tone                                     #  8.0  [1] (👨🏿‍🎨)
1F468 1F3FF 200D 1F3EB                      ; Emoji_ZWJ_Sequence  ; man teacher: dark skin tone                                    #  8.0  [1] (👨🏿‍🏫)
1F468 1F3FF 200D 1F3ED                      ; Emoji_ZWJ_Sequence  ; man factory worker: dark skin tone                             #  8.0  [1] (👨🏿‍🏭)
1F468 1F3FF 200D 1F4BB                      ; Emoji_ZWJ_Sequence  ; man technologist: dark skin tone                               #  8.0  [1] (👨🏿‍💻)
1F468 1F3FF 200D 1F4BC                      ; Emoji_ZWJ_Sequence  ; man office worker: dark skin tone                              #  8.0  [1] (👨🏿‍💼)
1F468 1F3FF 200D 1F527                      ; Emoji_ZWJ_Sequence  ; man mechanic: dark skin tone                                   #  8.0  [1] (👨🏿‍🔧)
1F468 1F3FF 200D 1F52C                      ; Emoji_ZWJ_Sequence  ; man scientist: dark skin tone                                  #  8.0  [1] (👨🏿‍🔬)
1F468 1F3FF 200D 1F680                      ; Emoji_ZWJ_Sequence  ; man astronaut: dark skin tone                                  #  8.0  [1] (👨🏿‍🚀)
1F468 1F3FF 200D 1F692                      ; Emoji_ZWJ_Sequence  ; man firefighter: dark skin tone                                #  8.0  [1] (👨🏿‍🚒)
1F468 1F3FF 200D 1F9B0                      ; Emoji_ZWJ_Sequence  ; man, red haired: dark skin tone                                # 11.0  [1] (👨🏿‍🦰)
1F468 1F3FF 200D 1F9B1                      ; Emoji_ZWJ_Sequence  ; man, curly haired: dark skin tone                              # 11.0  [1] (👨🏿‍🦱)
1F468 1F3FF 200D 1F9B2                      ; Emoji_ZWJ_Sequence  ; man, bald: dark skin tone                                      # 11.0  [1] (👨🏿‍🦲)
1F468 1F3FF 200D 1F9B3                      ; Emoji_ZWJ_Sequence  ; man, white haired: dark skin tone                              # 11.0  [1] (👨🏿‍🦳)
1F469 200D 2695 FE0F                        ; Emoji_ZWJ_Sequence  ; woman health worker                                            #  6.0  [1] (👩‍⚕️)
1F469 200D 2696 FE0F                        ; Emoji_ZWJ_Sequence  ; woman judge                                                    #  6.0  [1] (👩‍⚖️)
1F469 200D 2708 FE0F                        ; Emoji_ZWJ_Sequence  ; woman pilot                                                    #  6.0  [1] (👩‍✈️)
1F469 200D 1F33E                            ; Emoji_ZWJ_Sequence  ; woman farmer                                                   #  6.0  [1] (👩‍🌾)
1F469 200D 1F373                            ; Emoji_ZWJ_Sequence  ; woman cook                                                     #  6.0  [1] (👩‍🍳)
1F469 200D 1F393                            ; Emoji_ZWJ_Sequence  ; woman student                                                  #  6.0  [1] (👩‍🎓)
1F469 200D 1F3A4                            ; Emoji_ZWJ_Sequence  ; woman singer                                                   #  6.0  [1] (👩‍🎤)
1F469 200D 1F3A8                            ; Emoji_ZWJ_Sequence  ; woman artist                                                   #  6.0  [1] (👩‍🎨)
1F469 200D 1F3EB                            ; Emoji_ZWJ_Sequence  ; woman teacher                                                  #  6.0  [1] (👩‍🏫)
1F469 200D 1F3ED                            ; Emoji_ZWJ_Sequence  ; woman factory worker                                           #  6.0  [1] (👩‍🏭)
1F469 200D 1F4BB                            ; Emoji_ZWJ_Sequence  ; woman technologist                                             #  6.0  [1] (👩‍💻)
1F469 200D 1F4BC                            ; Emoji_ZWJ_Sequence  ; woman office worker                                            #  6.0  [1] (👩‍💼)
1F469 200D 1F527                            ; Emoji_ZWJ_Sequence  ; woman mechanic                                                 #  6.0  [1] (👩‍🔧)
1F469 200D 1F52C                            ; Emoji_ZWJ_Sequence  ; woman scientist                                                #  6.0  [1] (👩‍🔬)
1F469 200D 1F680                            ; Emoji_ZWJ_Sequence  ; woman astronaut                                                #  6.0  [1] (👩‍🚀)
1F469 200D 1F692                            ; Emoji_ZWJ_Sequence  ; woman firefighter                                              #  6.0  [1] (👩‍🚒)
1F469 200D 1F9B0                            ; Emoji_ZWJ_Sequence  ; woman, red haired                                              # 11.0  [1] (👩‍🦰)
1F469 200D 1F9B1                            ; Emoji_ZWJ_Sequence  ; woman, curly haired                                            # 11.0  [1] (👩‍🦱)
1F469 200D 1F9B2                            ; Emoji_ZWJ_Sequence  ; woman, bald                                                    # 11.0  [1] (👩‍🦲)
1F469 200D 1F9B3                            ; Emoji_ZWJ_Sequence  ; woman, white haired                                            # 11.0  [1] (👩‍🦳)
1F469 1F3FB 200D 2695 FE0F                  ; Emoji_ZWJ_Sequence  ; woman health worker: light skin tone                           #  8.0  [1] (👩🏻‍⚕️)
1F469 1F3FB 200D 2696 FE0F                  ; Emoji_ZWJ_Sequence  ; woman judge: light skin tone                                   #  8.0  [1] (👩🏻‍⚖️)
1F469 1F3FB 200D 2708 FE0F                  ; Emoji_ZWJ_Sequence  ; woman pilot: light skin tone                                   #  8.0  [1] (👩🏻‍✈️)
1F469 1F3FB 200D 1F33E                      ; Emoji_ZWJ_Sequence  ; woman farmer: light skin tone                                  #  8.0  [1] (👩🏻‍🌾)
1F469 1F3FB 200D 1F373                      ; Emoji_ZWJ_Sequence  ; woman cook: light skin tone                                    #  8.0  [1] (👩🏻‍🍳)
1F469 1F3FB 200D 1F393                      ; Emoji_ZWJ_Sequence  ; woman student: light skin tone                                 #  8.0  [1] (👩🏻‍🎓)
1F469 1F3FB 200D 1F3A4                      ; Emoji_ZWJ_Sequence  ; woman singer: light skin tone                                  #  8.0  [1] (👩🏻‍🎤)
1F469 1F3FB 200D 1F3A8                      ; Emoji_ZWJ_Sequence  ; woman artist: light skin tone                                  #  8.0  [1] (👩🏻‍🎨)
