# © 2017 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html

# Note: this file is not published by Unicode, but since its format follows Unicode's format, it's
# basically derived from Unicode data files.

# Backward compatibility with earlier platforms that supported these
1F93C 1F3FB 200D 2640 FE0F                        ; Emoji_ZWJ_Sequence  ; women wrestling: light skin tone
1F9B9 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🦹🦳‍♀  auto-generated
1F9B9 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🦹🦳‍♂  auto-generated
1F9D8 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🧘🦰‍♀  auto-generated
1F9D8 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🧘🦰‍♂  auto-generated
1F9D8 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🧘🦳‍♀  auto-generated
1F9D8 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🧘🦳‍♂  auto-generated
26F9 200D 2640; Emoji_ZWJ_Sequence; # ⛹‍♀  auto-generated
26F9 200D 2642; Emoji_ZWJ_Sequence; # ⛹‍♂  auto-generated

1F3C3 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🏃🦰‍♀  auto-generated

1F3C3 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🏃🦰‍♂  auto-generated

1F3C3 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🏃🦳‍♀  auto-generated

1F3C3 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🏃🦳‍♂  auto-generated

1F3C4 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🏄🦰‍♀  auto-generated

1F3C4 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🏄🦰‍♂  auto-generated

1F3C4 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🏄🦳‍♀  auto-generated

1F3C4 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🏄🦳‍♂  auto-generated

1F3CA 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🏊🦰‍♀  auto-generated

1F3CA 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🏊🦰‍♂  auto-generated

1F3CA 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🏊🦳‍♀  auto-generated

1F3CA 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🏊🦳‍♂  auto-generated

1F3CB 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🏋🦰‍♀  auto-generated

1F3CB 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🏋🦰‍♂  auto-generated

1F3CB 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🏋🦳‍♀  auto-generated

1F3CB 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🏋🦳‍♂  auto-generated

1F3CC 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🏌🦰‍♀  auto-generated

1F3CC 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🏌🦰‍♂  auto-generated

1F3CC 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🏌🦳‍♀  auto-generated

1F3CC 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🏌🦳‍♂  auto-generated

1F468 1F9B0 200D 1F33E; Emoji_ZWJ_Sequence; # 👨🦰‍🌾  auto-generated

1F468 1F9B0 200D 1F373; Emoji_ZWJ_Sequence; # 👨🦰‍🍳  auto-generated

1F468 1F9B0 200D 1F393; Emoji_ZWJ_Sequence; # 👨🦰‍🎓  auto-generated

1F468 1F9B0 200D 1F3A4; Emoji_ZWJ_Sequence; # 👨🦰‍🎤  auto-generated

1F468 1F9B0 200D 1F3A8; Emoji_ZWJ_Sequence; # 👨🦰‍🎨  auto-generated

1F468 1F9B0 200D 1F3EB; Emoji_ZWJ_Sequence; # 👨🦰‍🏫  auto-generated

1F468 1F9B0 200D 1F3ED; Emoji_ZWJ_Sequence; # 👨🦰‍🏭  auto-generated

1F468 1F9B0 200D 1F4BB; Emoji_ZWJ_Sequence; # 👨🦰‍💻  auto-generated

1F468 1F9B0 200D 1F4BC; Emoji_ZWJ_Sequence; # 👨🦰‍💼  auto-generated

1F468 1F9B0 200D 1F527; Emoji_ZWJ_Sequence; # 👨🦰‍🔧  auto-generated

1F468 1F9B0 200D 1F52C; Emoji_ZWJ_Sequence; # 👨🦰‍🔬  auto-generated

1F468 1F9B0 200D 1F680; Emoji_ZWJ_Sequence; # 👨🦰‍🚀  auto-generated

1F468 1F9B0 200D 1F692; Emoji_ZWJ_Sequence; # 👨🦰‍🚒  auto-generated

1F468 1F9B0 200D 2695; Emoji_ZWJ_Sequence; # 👨🦰‍⚕  auto-generated

1F468 1F9B0 200D 2696; Emoji_ZWJ_Sequence; # 👨🦰‍⚖  auto-generated

1F468 1F9B0 200D 2708; Emoji_ZWJ_Sequence; # 👨🦰‍✈  auto-generated

1F468 1F9B3 200D 1F33E; Emoji_ZWJ_Sequence; # 👨🦳‍🌾  auto-generated

1F468 1F9B3 200D 1F373; Emoji_ZWJ_Sequence; # 👨🦳‍🍳  auto-generated

1F468 1F9B3 200D 1F393; Emoji_ZWJ_Sequence; # 👨🦳‍🎓  auto-generated

1F468 1F9B3 200D 1F3A4; Emoji_ZWJ_Sequence; # 👨🦳‍🎤  auto-generated

1F468 1F9B3 200D 1F3A8; Emoji_ZWJ_Sequence; # 👨🦳‍🎨  auto-generated

1F468 1F9B3 200D 1F3EB; Emoji_ZWJ_Sequence; # 👨🦳‍🏫  auto-generated

1F468 1F9B3 200D 1F3ED; Emoji_ZWJ_Sequence; # 👨🦳‍🏭  auto-generated

1F468 1F9B3 200D 1F4BB; Emoji_ZWJ_Sequence; # 👨🦳‍💻  auto-generated

1F468 1F9B3 200D 1F4BC; Emoji_ZWJ_Sequence; # 👨🦳‍💼  auto-generated

1F468 1F9B3 200D 1F527; Emoji_ZWJ_Sequence; # 👨🦳‍🔧  auto-generated

1F468 1F9B3 200D 1F52C; Emoji_ZWJ_Sequence; # 👨🦳‍🔬  auto-generated

1F468 1F9B3 200D 1F680; Emoji_ZWJ_Sequence; # 👨🦳‍🚀  auto-generated

1F468 1F9B3 200D 1F692; Emoji_ZWJ_Sequence; # 👨🦳‍🚒  auto-generated

1F468 1F9B3 200D 2695; Emoji_ZWJ_Sequence; # 👨🦳‍⚕  auto-generated

1F468 1F9B3 200D 2696; Emoji_ZWJ_Sequence; # 👨🦳‍⚖  auto-generated

1F468 1F9B3 200D 2708; Emoji_ZWJ_Sequence; # 👨🦳‍✈  auto-generated

1F469 1F9B0 200D 1F33E; Emoji_ZWJ_Sequence; # 👩🦰‍🌾  auto-generated

1F469 1F9B0 200D 1F373; Emoji_ZWJ_Sequence; # 👩🦰‍🍳  auto-generated

1F469 1F9B0 200D 1F393; Emoji_ZWJ_Sequence; # 👩🦰‍🎓  auto-generated

1F469 1F9B0 200D 1F3A4; Emoji_ZWJ_Sequence; # 👩🦰‍🎤  auto-generated

1F469 1F9B0 200D 1F3A8; Emoji_ZWJ_Sequence; # 👩🦰‍🎨  auto-generated

1F469 1F9B0 200D 1F3EB; Emoji_ZWJ_Sequence; # 👩🦰‍🏫  auto-generated

1F469 1F9B0 200D 1F3ED; Emoji_ZWJ_Sequence; # 👩🦰‍🏭  auto-generated

1F469 1F9B0 200D 1F4BB; Emoji_ZWJ_Sequence; # 👩🦰‍💻  auto-generated

1F469 1F9B0 200D 1F4BC; Emoji_ZWJ_Sequence; # 👩🦰‍💼  auto-generated

1F469 1F9B0 200D 1F527; Emoji_ZWJ_Sequence; # 👩🦰‍🔧  auto-generated

1F469 1F9B0 200D 1F52C; Emoji_ZWJ_Sequence; # 👩🦰‍🔬  auto-generated

1F469 1F9B0 200D 1F680; Emoji_ZWJ_Sequence; # 👩🦰‍🚀  auto-generated

1F469 1F9B0 200D 1F692; Emoji_ZWJ_Sequence; # 👩🦰‍🚒  auto-generated

1F469 1F9B0 200D 2695; Emoji_ZWJ_Sequence; # 👩🦰‍⚕  auto-generated

1F469 1F9B0 200D 2696; Emoji_ZWJ_Sequence; # 👩🦰‍⚖  auto-generated

1F469 1F9B0 200D 2708; Emoji_ZWJ_Sequence; # 👩🦰‍✈  auto-generated

1F469 1F9B3 200D 1F33E; Emoji_ZWJ_Sequence; # 👩🦳‍🌾  auto-generated

1F469 1F9B3 200D 1F373; Emoji_ZWJ_Sequence; # 👩🦳‍🍳  auto-generated

1F469 1F9B3 200D 1F393; Emoji_ZWJ_Sequence; # 👩🦳‍🎓  auto-generated

1F469 1F9B3 200D 1F3A4; Emoji_ZWJ_Sequence; # 👩🦳‍🎤  auto-generated

1F469 1F9B3 200D 1F3A8; Emoji_ZWJ_Sequence; # 👩🦳‍🎨  auto-generated

1F469 1F9B3 200D 1F3EB; Emoji_ZWJ_Sequence; # 👩🦳‍🏫  auto-generated

1F469 1F9B3 200D 1F3ED; Emoji_ZWJ_Sequence; # 👩🦳‍🏭  auto-generated

1F469 1F9B3 200D 1F4BB; Emoji_ZWJ_Sequence; # 👩🦳‍💻  auto-generated

1F469 1F9B3 200D 1F4BC; Emoji_ZWJ_Sequence; # 👩🦳‍💼  auto-generated

1F469 1F9B3 200D 1F527; Emoji_ZWJ_Sequence; # 👩🦳‍🔧  auto-generated

1F469 1F9B3 200D 1F52C; Emoji_ZWJ_Sequence; # 👩🦳‍🔬  auto-generated

1F469 1F9B3 200D 1F680; Emoji_ZWJ_Sequence; # 👩🦳‍🚀  auto-generated

1F469 1F9B3 200D 1F692; Emoji_ZWJ_Sequence; # 👩🦳‍🚒  auto-generated

1F469 1F9B3 200D 2695; Emoji_ZWJ_Sequence; # 👩🦳‍⚕  auto-generated

1F469 1F9B3 200D 2696; Emoji_ZWJ_Sequence; # 👩🦳‍⚖  auto-generated

1F469 1F9B3 200D 2708; Emoji_ZWJ_Sequence; # 👩🦳‍✈  auto-generated

1F46E 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 👮🦰‍♀  auto-generated

1F46E 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 👮🦰‍♂  auto-generated

1F46E 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 👮🦳‍♀  auto-generated

1F46E 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 👮🦳‍♂  auto-generated

1F473 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 👳🦰‍♀  auto-generated

1F473 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 👳🦳‍♀  auto-generated

1F477 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 👷🦰‍♀  auto-generated

1F477 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 👷🦰‍♂  auto-generated

1F477 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 👷🦳‍♀  auto-generated

1F477 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 👷🦳‍♂  auto-generated

1F481 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 💁🦰‍♀  auto-generated

1F481 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 💁🦰‍♂  auto-generated

1F481 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 💁🦳‍♀  auto-generated

1F481 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 💁🦳‍♂  auto-generated

1F482 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 💂🦰‍♀  auto-generated

1F482 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 💂🦰‍♂  auto-generated

1F482 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 💂🦳‍♀  auto-generated

1F482 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 💂🦳‍♂  auto-generated

1F486 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 💆🦰‍♀  auto-generated

1F486 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 💆🦰‍♂  auto-generated

1F486 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 💆🦳‍♀  auto-generated

1F486 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 💆🦳‍♂  auto-generated

1F487 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 💇🦰‍♀  auto-generated

1F487 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 💇🦰‍♂  auto-generated

1F487 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 💇🦳‍♀  auto-generated

1F487 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 💇🦳‍♂  auto-generated

1F575 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🕵🦰‍♀  auto-generated

1F575 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🕵🦰‍♂  auto-generated

1F575 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🕵🦳‍♀  auto-generated

1F575 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🕵🦳‍♂  auto-generated

1F602 200D 2063 FE0F; Emoji_ZWJ_Sequence; # 😂‍⁣️  auto-generated

1F645 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🙅🦰‍♀  auto-generated

1F645 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🙅🦰‍♂  auto-generated

1F645 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🙅🦳‍♀  auto-generated

1F645 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🙅🦳‍♂  auto-generated

1F646 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🙆🦰‍♀  auto-generated

1F646 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🙆🦰‍♂  auto-generated

1F646 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🙆🦳‍♀  auto-generated

1F646 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🙆🦳‍♂  auto-generated

1F647 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🙇🦰‍♀  auto-generated

1F647 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🙇🦰‍♂  auto-generated

1F647 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🙇🦳‍♀  auto-generated

1F647 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🙇🦳‍♂  auto-generated

1F64B 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🙋🦰‍♀  auto-generated

1F64B 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🙋🦰‍♂  auto-generated

1F64B 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🙋🦳‍♀  auto-generated

1F64B 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🙋🦳‍♂  auto-generated

1F64D 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🙍🦰‍♀  auto-generated

1F64D 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🙍🦰‍♂  auto-generated

1F64D 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🙍🦳‍♀  auto-generated

1F64D 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🙍🦳‍♂  auto-generated

1F64E 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🙎🦰‍♀  auto-generated

1F64E 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🙎🦰‍♂  auto-generated

1F64E 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🙎🦳‍♀  auto-generated

1F64E 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🙎🦳‍♂  auto-generated

1F6A3 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🚣🦰‍♀  auto-generated

1F6A3 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🚣🦰‍♂  auto-generated

1F6A3 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🚣🦳‍♀  auto-generated

1F6A3 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🚣🦳‍♂  auto-generated

1F6B4 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🚴🦰‍♀  auto-generated

1F6B4 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🚴🦰‍♂  auto-generated

1F6B4 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🚴🦳‍♀  auto-generated

1F6B4 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🚴🦳‍♂  auto-generated

1F6B5 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🚵🦰‍♀  auto-generated

1F6B5 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🚵🦰‍♂  auto-generated

1F6B5 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🚵🦳‍♀  auto-generated

1F6B5 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🚵🦳‍♂  auto-generated

1F6B6 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🚶🦰‍♀  auto-generated

1F6B6 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🚶🦰‍♂  auto-generated

1F6B6 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🚶🦳‍♀  auto-generated

1F6B6 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🚶🦳‍♂  auto-generated

1F926 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤦🦰‍♀  auto-generated

1F926 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤦🦰‍♂  auto-generated

1F926 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤦🦳‍♀  auto-generated

1F926 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤦🦳‍♂  auto-generated

1F937 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤷🦰‍♀  auto-generated

1F937 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤷🦰‍♂  auto-generated

1F937 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤷🦳‍♀  auto-generated

1F937 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤷🦳‍♂  auto-generated

1F938 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤸🦰‍♀  auto-generated

1F938 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤸🦰‍♂  auto-generated

1F938 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤸🦳‍♀  auto-generated

1F938 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤸🦳‍♂  auto-generated

1F939 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤹🦰‍♀  auto-generated

1F939 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤹🦰‍♂  auto-generated

1F939 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤹🦳‍♀  auto-generated

1F939 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤹🦳‍♂  auto-generated

1F93C 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤼🦰‍♀  auto-generated

1F93C 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤼🦰‍♂  auto-generated

1F93C 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤼🦳‍♀  auto-generated

1F93C 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤼🦳‍♂  auto-generated

1F93D 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤽🦰‍♀  auto-generated

1F93D 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤽🦰‍♂  auto-generated

1F93D 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤽🦳‍♀  auto-generated

1F93D 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤽🦳‍♂  auto-generated

1F93E 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🤾🦰‍♀  auto-generated

1F93E 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🤾🦰‍♂  auto-generated

1F93E 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🤾🦳‍♀  auto-generated

1F93E 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🤾🦳‍♂  auto-generated

1F9B8 200D 2063 FE0F; Emoji_ZWJ_Sequence; # 🦸‍⁣️  auto-generated

1F9B9 200D 2063 FE0F; Emoji_ZWJ_Sequence; # 🦹‍⁣️  auto-generated

1F9D6 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🧖🦰‍♀  auto-generated

1F9D6 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🧖🦰‍♂  auto-generated

1F9D6 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🧖🦳‍♀  auto-generated

1F9D6 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # 🧖🦳‍♂  auto-generated

26F9 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # ⛹🦰‍♀  auto-generated

26F9 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # ⛹🦰‍♂  auto-generated

26F9 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # ⛹🦳‍♀  auto-generated

26F9 1F9B3 200D 2642; Emoji_ZWJ_Sequence; # ⛹🦳‍♂  auto-generated

1F3F3 FE0F 200D 26A7; Emoji_ZWJ_Sequence; # 🏳️‍⚧  auto-generated

1F468 1F9B0 200D 1F9AF; Emoji_ZWJ_Sequence; # 👨🦰‍🦯  auto-generated

1F468 1F9B0 200D 1F9BC; Emoji_ZWJ_Sequence; # 👨🦰‍🦼  auto-generated

1F468 1F9B0 200D 1F9BD; Emoji_ZWJ_Sequence; # 👨🦰‍🦽  auto-generated

1F468 1F9B3 200D 1F9AF; Emoji_ZWJ_Sequence; # 👨🦳‍🦯  auto-generated

1F468 1F9B3 200D 1F9BC; Emoji_ZWJ_Sequence; # 👨🦳‍🦼  auto-generated

1F468 1F9B3 200D 1F9BD; Emoji_ZWJ_Sequence; # 👨🦳‍🦽  auto-generated

1F469 1F9B0 200D 1F9AF; Emoji_ZWJ_Sequence; # 👩🦰‍🦯  auto-generated

1F469 1F9B0 200D 1F9BC; Emoji_ZWJ_Sequence; # 👩🦰‍🦼  auto-generated

1F469 1F9B0 200D 1F9BD; Emoji_ZWJ_Sequence; # 👩🦰‍🦽  auto-generated

1F469 1F9B3 200D 1F9AF; Emoji_ZWJ_Sequence; # 👩🦳‍🦯  auto-generated

1F469 1F9B3 200D 1F9BC; Emoji_ZWJ_Sequence; # 👩🦳‍🦼  auto-generated

1F469 1F9B3 200D 1F9BD; Emoji_ZWJ_Sequence; # 👩🦳‍🦽  auto-generated

1F9CD 1F9B0 200D 2640; Emoji_ZWJ_Sequence; # 🧍🦰‍♀  auto-generated

1F9CD 1F9B0 200D 2642; Emoji_ZWJ_Sequence; # 🧍🦰‍♂  auto-generated

1F9CD 1F9B3 200D 2640; Emoji_ZWJ_Sequence; # 🧍🦳‍♀  auto-generated

